Comment,Annotation,label,text_len
"In [caste] ko toh bas gaali dene ka mann karta hai, bc! 😠",Hatespeech,0,13
Mujhe apni mail id de mai apko ek photo bhejta hu yahi nonveg jisko Uttar Pradesh se supply Kiya jata hai gulf mai jabki yogi ne apni personal Bhavna ke tehat ban Kiya hai,Not Hatespeech,1,34
​​ ka Ambedkar Jayanti par Yatra se kya Dikkat tha Desh Samvidhan se chalta hai Or jisne Samvidhan likha Usi ke jaynti ka yatra nahi Nikalne doge To Aapko Bhi Nahi Nikalne Dega Jara Dimag se socho Samvidhan sabhi ka hai Jo use likh Wo sabhi ka hai Samvidhan Bada koi nahi ❤jai Bhim ❤,Not Hatespeech,1,55
Muh m leke aana 😂,Hatespeech,0,5
Jodha bhua bhi L par kiske baithi thi mugalput​,Hatespeech,0,9
"sachai sun kar Kaan jal gayi kya ? Mujhe pata hai ki jaha par education kam hai, wahan enke upar Atyachar hota hai par jahan enko extra power mili hai wo log eska misuse kar rahe hain",Not Hatespeech,1,37
"Yeh bhangi log toh gandagi failate hai, inke wajah se hi toh saara problem hai. 🤮",Hatespeech,0,16
Nila salam hai sabhi bhaio ko,Not Hatespeech,1,6
Sistar cercha karo 9997017777,Not Hatespeech,1,4
Kisi particular place se pura all india ko define nhi kr sakte ho,Not Hatespeech,1,13
"Abe chamar log, tum logo ki toh aukat hi nahi hai hamare barabar aane ki. 😠",Hatespeech,0,16
Can this RRR man can be priest for a day in any mandir?,Not Hatespeech,1,13
"College me sab log phle he list nikal kar dekh lete hai kaun SC hai ab 
Aur discrimination start",Not Hatespeech,1,19
"Abe chamar log, tum logo ko reservation chahiye, par izzat nahi? Double standards! 😠",Hatespeech,0,14
सालो उनसे उलझते क्यू हो....,Hatespeech,0,5
lgta h mandiro me chanda(bhik)  nhi mil rhi h,Not Hatespeech,1,9
"Abe chamar log, tumhari aukaat kya hai? Just shut up! 😠",Hatespeech,0,11
"Wah bhai wah kya jhut bola h 
Ham adivasi toh jhopdi me bethe rehte the
Baki toh tum hi krte h hmlogon ka koi yogdan nhi hai wah.
Internet free h jake k dekh pehle phir kehna",Not Hatespeech,1,37
Me chahta hu ki koe dalit es hindu ke chapet me na aye nhi to bhut bura hal hojaye ga ham sbo ka,Not Hatespeech,1,23
"Abe, ye chamar log toh bas reservation ka fayda uthate hain. Koi kaam dhandha toh aata nahi 😡.",Hatespeech,0,18
"Yeh chamar log na, inki toh soch hi ghatiya hai. Saare desh ko barbaad kar rahe hain! 😡",Hatespeech,0,18
In Bhangi log ko koi respect nahi deta yaar. They are so low class 😠,Hatespeech,0,15
maharana pratap ki jai,Not Hatespeech,1,4
This is the truth of India. I have faced cast discrimination many times in my life.,Not Hatespeech,1,16
No cast system we are sanatani,Not Hatespeech,1,6
"daru pikar gali de rhe the  Bhai  ek baar sun li thi socha gaali hi To de rha he  baad me ladke lekar aa gya wah apne samaj ke 
Fir hum logo ne koot diya unko 
  case ban gya ki humne daru pikar maarpeet ki",Not Hatespeech,1,45
There are examples where Sangh/BJP leaders have married their daughters with Muslim boy but is it there any example where RSS leaders marry their daughters with Dalit/SC/St Boy as Hindu? Never.... RSS want them to make crowd to complete their motives...,Not Hatespeech,1,41
I m not dignifying Anyone....But koi itna mahan ni tha....Mahan hote to Jo lower caste system tha unhe equality ka darja dete... Constitution ane k bad equality q mili.....??? Answer Dene ki koshish zaroor Krna...,Not Hatespeech,1,35
Ek to yeah Reporter Aurat Adhed umardaraaj hai aur wyawhaar Aapattijanak ..,Not Hatespeech,1,12
In chamars ki toh aukat hi nahi hai humare saath baithne ki. 😠😤,Hatespeech,0,13
Teri mooch kya tu ganja kiya jayega. Time aane de,Not Hatespeech,1,10
Ye baat tum karte ho tum to beef khate ho tab kya dusro dhram ki tas nahi pujate suno leather ki use hote hai samjha leathers ki jackets hoti hai tumhare dhramki bhagvan bki tekha le rakha kisne  Tumhare bhavna to har jagha aahat hoti hai to kya kare Tumhare liya apne kam chod de log leather  ke jute pehna chod de,Hatespeech,0,62
जय भीम जय संबिधान नमो बुधाय,Not Hatespeech,1,6
BBC Muslim aur dalit ki rajniti kr rhi h,Not Hatespeech,1,9
When hindus are trying to unite their religion then what is the problem? Dalits are emerging as a part of hindu society then it is a sign of their social upliftment.,Not Hatespeech,1,31
In chamar logo ko koi izzat nahi deni chahiye. They are just so beneath us. 😠,Hatespeech,0,16
Upper caste waale toh bas chuhra ko neecha dikhane mein lage rehte hain. Koi respect nahi hai inki! 😤,Hatespeech,0,19
Baba sahab na hote to aaj bhi swarno ke fenke huye tukde kha rahe hote,Hatespeech,0,15
"In chamar logo ko toh bas reservation chahiye, kuch kaam dhandha nahi aata. 😠",Hatespeech,0,14
Yah sab faltu ki news hai,Not Hatespeech,1,6
"jab sc/st act nahi tha tab untouchable ya choti jaati bol ke dosti nahi karte the .
Ab jab sc/st act h tab  safety bolke Dosti nahi karte. 
matlab SC/St act ho ya na ho lekin lower caste walo se dosti nahi karenge.",Not Hatespeech,1,43
I am 62 years and I never recognized in school college job or in  business who is SC or ST in Delhi.  BBC is not right channel to go for such a interviews.  Upper cste people also sacrifices jobs for SC after idependence and SC s failed to do the same for poor Scs . It is very easy to blame others.,Not Hatespeech,1,62
"Abe chamar log, tumhari aukat kya hai? 😡 Tumhe toh sirf jhadu lagana aata hai, bas.",Hatespeech,0,16
Sab Manawati ne karwaya  tha.,Not Hatespeech,1,5
Yah Thakur baad nahin Hai Gunda baat hai Jaise ko taisa jawab Diya jaega ab Jay Bheem namo Buddha,Hatespeech,0,19
"Abe chamar log, tumhari aukaat kya hai hum brahman ko judge karne ki? 😠😠",Hatespeech,0,14
"In bhangi logon ko toh bas gandagi saaf karne ka hi kaam karna chahiye, aur koi aukat nahi hai 😡",Hatespeech,0,20
"If anyone asks me, you are a caste, I am a Hindu caste.",Not Hatespeech,1,13
Dalit bhai sabse pehle Hindu hai or sabse bade Hindu hai kya Bharat me apne hi desh me sabhi hindu chahe kisi jati ke ho muslim shashakon ne pratadit nahi kiya,Not Hatespeech,1,31
"Ek dalit ne savidhan likha hai,ye yaad ho bade logo ko,mujhe guilty feel nai hoti,jisse pblm h,wo Jaa sakta hai, bezzati wo kya feel karenge hamare sth reh kar, bezzati hum feel karte hai,un logo ko pass dekh kar,dalit ka meaning srf pata lag jaye,bas....dalit kinhe kehte hai,proud to be a St SC....hamara way,without traffic hai,par apka nai...",Not Hatespeech,1,58
एकता में ही ताकत है। तुमको बिखरकर तुम्हारा शोषण करते है,Not Hatespeech,1,11
"Hypocrisy of BBC - There was only one Dalit journalist in BBC and she also had to resign because of Upper caste discourse in this media house. 

Why can't we implement that thing in our life about what we have been vocal throughout.",Not Hatespeech,1,43
क्योकि जितनी आपको नफरत है उससे ज्यादा सनातन से प्यार है।,Not Hatespeech,1,11
Jaise dalits rote hai🤣🤣🤣,Hatespeech,0,4
Maximum andhbhakt from obc,Not Hatespeech,1,4
"शायद आपकी बात भी सही हो लेकिन हमारे यहां छुआछूत खत्म हो चुका है, 
क्योंकि मेरा जो सबसे प्रिय मित्र है वो जाती से चमार है लेकिन हमे कभी महसूस ही नहीं हुआ कि हम अलग है.. एक साथ ही हम खाते हैं घूमते हैं या कोई भी कार्य करते हैं ये ख्याल भी मन में नहीं आता कि हम ऊँच और नीच जाती के है... मेरे माता पिता भी ऐसी संस्कार नहीं दिया है मुझे,
अगर आज भी कोई छुआछूत और भेदभाव करता तो समझ लेना की उसे शिक्षा की जरूरत है... 
छुआछूत हटाने के लिए दलित हो या गैर दलित दोनों का शिक्षित होना बहोत जरूरी है",Not Hatespeech,1,109
"Arre bc, in chamar logon ko toh bas reservation chahiye, kuch aata jaata toh hai nahi. 🙄",Hatespeech,0,17
"Kya dom ho yaar, tum log toh hamesha reservation ke liye rote rehte ho. Kuch toh kaam karo! 😡",Hatespeech,0,19
Jhoot bol rahi hai,Not Hatespeech,1,4
​ kahni lag rha jis lagata usi pr kya bitata hogae usko socho jara,Not Hatespeech,1,14
Dr baba sahab se itni pareshani kyo hai,Not Hatespeech,1,8
Kya chamar log aaj bhi gaav mein ganda kaam karte hain? 🤮🤮🤮,Hatespeech,0,12
"BRAHAMAN  SAMAJ ,  RAJPUTO. KO. THAKUR. MANTE. HI. NAHI  HE ,SIRF. TELI.I.  SAMAJH TE. HE. OR. SUDRA HI. SAMAJH  TE. HE  OR.  ISI LIYE. INKO. PICHDI. JATI. ME. SHAMIL. KIYA. HE .
  ATHA  ,  RAJPUT. SAMAJ. KE. EK MUKHY. MANTRI. KO. RSS. KE. KARYALY  ME.   KABI  NAHI. GHUSANE. DIYA,,  APMANIT. HOKAR   UNHONE   P ARTY. CHOD  KAR.  SAPA. ME JANE. KO MAJBUR. HO. GAYE THE  PHIR. BHI. RSS. KE. KARYALY. ME. GHUSANE. KA. AVASAR  UNHE. NAHI.  MiLA.    
   ATH. RAJ. PUTO. KO  SAMJHNA. CHAIYE.  KI  UNHE. SIRF. PICHADO.  SE.  PICHDO. KO. LADANE  KE. LIYE. ISTMAL. KIYA. JATA. HE .  (   RAJ PUTO. KA. VAHI. HAL. HE.  TEEN.  KE.  TERAH. KARDE.  OR.   NAM  DAROGA DHAR. DE .) .",Hatespeech,0,115
संख्या में ज्यादा होने से कुछ नहीं होता 😅,Not Hatespeech,1,9
tu  kon he decision lene wala,Not Hatespeech,1,6
In chamar logon ki toh aukat hi nahi hai ki hum se compete kar sakein. 😒,Hatespeech,0,16
tum kya chahte ho mugalpoot,Hatespeech,0,5
"Brahmanwadi RSS is threat to sc,st,obc,dalit,shudra,adibasi & indigenous peoples",Not Hatespeech,1,9
"i didn't fuckin called anyone when you dnt know anything better u fuk ur ass up .
This law doesn't need evidence first that's very wrong n calling someone is not a case gets ur facts right..
To file any case u need evidence but fr sc st to file an fir u need petition bas n after getting fir filled the petitioner gets amount of 1.5Lakhs just for fir that's y fake cases on rise Ah..***",Hatespeech,0,77
"Dekho, yeh dhobi caste wale, bas reservation ka fayda uthate hain. Koi kaam toh karte nahi. 😡",Hatespeech,0,17
"In bhangi logon ko toh bas reservation chahiye, kuch kaam dhanda toh aata nahi. 😡",Hatespeech,0,15
ATUL KIRTI ANAND kalyug ke jaatiwadi tum ho maine kai dafah chamaro ke groups ko hate debate krte dekha h,Hatespeech,0,20
दलितों के हिन्दू होने के मायने हैं मनुवादियों के हाथों बलि का बकरा।,Hatespeech,0,13
"Oh bhai, dusadh log toh hamesha ladai jhagda karte rehte hain. 🤬 Koi shanti se rehne nahi deta!",Hatespeech,0,18
"They will always discriminate with them, don't fall for this drama.",Not Hatespeech,1,11
"हिंदुत्व की परम्परा कमजोर वर्ग के लिए गुलामी के कारण है।

गुलामी की प्रतीक नहीं माने और अपनी नई विचारधारा जो मौजूदा कानूनों के अनुसार हो शामिल करे, किसी से डरे नहीं।",Not Hatespeech,1,32
​ naya buddhism 😂,Not Hatespeech,1,4
"Mam🙏🙏🙏🙏 please  aura panchayat  k aura gaon mein dalit k upper atyachar bahut ho raha hain 1500 se jyada parivaar  khatre m hain
 https://youtu.be/uq6WIrF7BXk
Aap is video  mein number  aur family  description  le sakte hain isme sarab mafiya k sath sarpanch  aur DSP rosera mila  hua hain Tejpratap yadav  ka vidhansabha  hain ye please  cooperate  immediately  it's humble  request.🙏🙏🙏🙏🙏",Not Hatespeech,1,59
"Yeh bhangi log hamesha reservation ki baat karte hain, kuch kaam toh karte nahi. 😡",Hatespeech,0,15
Jai bhim jindabad,Not Hatespeech,1,3
"Sarkar ki support hai,tabhi jatiwad ko badawa milta hai",Not Hatespeech,1,9
Fir topic change kar raha lawduchand,Hatespeech,0,6
Jab Ramayan likhne bale Dalit(Hindu) the .. To Kisi aur caste balo se validation kyu chahiye .. Proud to be Hindu.,Not Hatespeech,1,21
"Are you baniya or something? Matlab, itni bhi akal nahi hai?🙄",Hatespeech,0,11
"In bhangi logon ko toh koi izzat hi nahi deni chahiye. Gandi soch wale, desh ko barbaad kar rahe hain.🤮",Hatespeech,0,20
In dalit auraton ko toh bas humare thakur aadmiyo ke saath shaadi karke apni auk,Hatespeech,0,15
In Bhangi logon ko toh koi izzat hi nahi deta. 🤮 Saare gande kaam toh yehi karte hain. 😤,Hatespeech,0,19
".. No state is exempt from such atrocities.
In which state are you?",Not Hatespeech,1,13
which state are you from bro,Not Hatespeech,1,6
Dalit mulnivasi hain to wo videsh Q jaye.।,Not Hatespeech,1,8
"मनु ने शुद्र कह कर शुद्र का जीना हराम कर दिया, इसलिए तथाकथित लोग आज आगे हैं वे लोग ही सारी मानवता को ताक पर रख मारपीट, गाली-गलौज, भेद-भाव करते हैं,",Hatespeech,0,31
"Abe, ye chamar log toh sirf reservation ke layak hai. Koi kaam toh aata nahi 😠!",Hatespeech,0,16
abe chutiye mai yahan education ki baat kar raha hoon kesa insaan hai tu teri soch etni chhoti hai.. es liye sab tumse etna nafrat karte hain,Hatespeech,0,27
"kuch b , GENERAL CASTE ki sabse buri halat hain",Hatespeech,0,10
"Dekho, yeh thakur log kitna ghamand karte hain. Par asal mein toh yeh khatri se kam hain!",Hatespeech,0,17
चाचा संघ में दर्री ओर कुर्सी लगाने के अलावा ओर कुछ काम अपके बच्चे को नहीं मिलने वाला।मूंह में राम बगल में छुरी वाला हिसाब है यहां जातिवादी अभी तक है।,Hatespeech,0,31
"Aur naam btaun ??? comment section kam padh jayega , Gandhi ji ke supporters tribals bhi rahe hai . Aise hi nahi Tribals ko Cnt act aur pesa act aur adhikar mile hai . koi daan me nahi mila hai .",Not Hatespeech,1,41
"Abe chamar log, tum logon ko koi izzat nahi dega! 😠 Tumhari aukat kya hai?",Hatespeech,0,15
"Yeh  log hamesha backward hi rahenge, koi badlav nahi aa sakta inme 🤮",Hatespeech,0,13
Dalito ke raaj aa gaye sala dalito ko phone pkda diye,Hatespeech,0,11
Muslim dalit ko ek krne wale ye bhool jate hai Pakistan main dalit aaj bhik maang rhe hai wo bhi allah ke naam pr,Hatespeech,0,24
"Upper caste walon ko toh blame kar dete hai, par yeh Dusadh log bhi toh gaon mein d",Hatespeech,0,18
योगी आदित्यनाथ खुद जातिवादी है,Not Hatespeech,1,5
Dalito ko  jald se jald Hindu dharm chod Dena chahiye ye dharm nahi Chand logo ka dhanda Hai yahi kadwa Sach Hai,Hatespeech,0,22
​ अच्छा OBC वाले अब बन रहे क्षत्रिय हैं। 😀,Not Hatespeech,1,10
"Dekho, yeh dom caste waale toh hamesha gandi harkatein karte hain. Ekdum",Hatespeech,0,12
buddhism istelf is part of hinduism .. last year i went to bankok there people worship both navratri and lord buddha ...,Not Hatespeech,1,22
"बीबीसी बाँट रही है, हम लोगों को... भाई हक़ के लिए लड़ना पड़ता है... अपने लोग ऊपर भी तो नहीं आना चाहते, शिक्षा ही तुम्हें वो इज्जत दिला सकती है, मायावती मुख्यमंत्री थी... उत्तरप्रदेश की घोटाले के अलावा उसने कुछ नहीं किया... भगवान को दोष मत दो, किसी के लिए अपना भगवान छोड़ देंगे... ताकत बढ़ाओ... पढ़ लिख के अच्छे पद पे पहुंचो... जो दलित का वोट चाहते हैं, काम तो कुछ करेंगे नहीं...",Not Hatespeech,1,74
"Dekh bhai, yeh dom log na, inko toh bas gandagi failani aati hai. 😠🤢",Hatespeech,0,14
Bhai ye stats kaha se laye batana jara,Not Hatespeech,1,8
BBC must leave India. We are one only Hindu,Not Hatespeech,1,9
Yeh bhangi log hamesha reservation ke naam pe rote rehte hain. Koi kaam dhandha toh hai nahi. 😒,Hatespeech,0,18
Yeh chamar log toh bas reservation ka fayda uthate hain. Koi kaam toh karte nahi. 😠,Hatespeech,0,16
"Dekho, ye dalit log aaj bhi apni gandi soch nahi badalte. Unko toh bas hum thakur",Hatespeech,0,16
ऐेसे तुच्छ बहोत कम लोग होते हे तुम हारना मत करोडो लोग ओर भगवान तुम्हारे साथ हें ।इस  परिस्थति से लडना हे तुम्हे ओर तुम्ही जीतोगी  ।,Not Hatespeech,1,27
sex with your sister and mom,Hatespeech,0,6
tumhari police hi corrupt hai...,Not Hatespeech,1,5
Mera toh dil hi khush ho gaya.... Thank you bhai o 💙💙💙👍👍🔥🔥🔥,Not Hatespeech,1,12
In Brahmin chutiye ko desh se bahar nikal do! They think they are so superior.,Hatespeech,0,15
Reality of India... Very sad,Not Hatespeech,1,5
No bhrahmins are also responsible in this,Not Hatespeech,1,7
300 mai kons acollege milta hai be,Not Hatespeech,1,7
The Great Bhim ❤️❤️,Not Hatespeech,1,4
Jay bhim Namo buddhay ❤,Not Hatespeech,1,5
😂abe sale te hi sabse jyada angrejon ki chat te the,Hatespeech,0,11
"Bhai सोच samjh ke bol chamaro kitna bada ehasan hai india azad krne ke lia..
1) apni regiment ko tyag diya azad hind foj ke lia ...
2) chora chori kand me total chamar the
3)genral dyer ko mara udham singh ravidasi chamar the ...
4) bake chamar jinhone angerezo ko Bhagat singh se phele kaat na chalu kia...
5) Dr bim rao Ambedkr jinhone constitution likha ....
6) Brisa munda ji jinhone jangalo se kranti suru kri st samaj se the
😢😢😢😢aur tum khe rahe ho ki ghumne tek diye",Not Hatespeech,1,91
Hamare yaha  jati hi vyastha hai,Not Hatespeech,1,6
